,code,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
44,MALE,0.549204,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
45,FEMALE,0.450796,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1662645893
46,MALE,0.571689,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
47,FEMALE,0.428311,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
48,MALE,0.872623,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
49,FEMALE,0.127377,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
50,MALE,0.872623,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
51,FEMALE,0.127377,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
0,FEMALE,0.127377,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
1,MALE,0.872623,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
0,MALE,0.044222,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
1,FEMALE,0.955778,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
2,MALE,0.044222,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
3,FEMALE,0.955778,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
4,MALE,0.044222,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
5,FEMALE,0.955778,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
6,MALE,0.099584,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
7,FEMALE,0.900416,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
8,FEMALE,0.900238,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
9,MALE,0.099762,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
10,MALE,0.09956,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
11,FEMALE,0.90044,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
12,MALE,0.504408,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
13,FEMALE,0.495592,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
14,FEMALE,0.495592,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
15,MALE,0.504408,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
16,MALE,0.504343,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
17,FEMALE,0.495657,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
18,MALE,0.415802,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
19,FEMALE,0.584198,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
20,MALE,0.416137,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
21,FEMALE,0.583863,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
22,MALE,0.416137,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662646268
23,FEMALE,0.583863,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662646268
24,MALE,0.537393,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662646339
25,FEMALE,0.462607,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662646339
26,MALE,0.537393,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1664431880
27,FEMALE,0.462607,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1664431880
28,MALE,0.537393,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662974824
29,FEMALE,0.462607,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662974824
30,MALE,0.431089,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1662645841
31,FEMALE,0.568911,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1662645841
32,MALE,0.430945,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1664431677
33,FEMALE,0.569055,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1664431677
34,MALE,0.430945,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1662974792
35,FEMALE,0.569055,2022-10-21 11:05:17.701729,Necklow,necklowco,peedi_c,1662974792
36,MALE,0.258813,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1662645451
37,FEMALE,0.741187,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1662645451
38,FEMALE,0.741187,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1662974788
39,MALE,0.258813,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1662974788
40,FEMALE,0.741187,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1664431627
41,MALE,0.258813,2022-10-21 11:05:17.701729,Necklow,necklowco,imara.grant,1664431627
42,FEMALE,0.958939,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1662645466
43,MALE,0.041061,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1662645466
44,FEMALE,0.958939,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1664431435
45,MALE,0.041061,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1664431435
46,MALE,0.041061,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1662974786
47,FEMALE,0.958939,2022-10-21 11:05:17.701729,Necklow,necklowco,lillyjbennett,1662974786
48,MALE,0.093758,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1662974755
49,FEMALE,0.906242,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1662974755
50,MALE,0.09387,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1664431506
51,FEMALE,0.90613,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1664431506
52,MALE,0.093882,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1662645931
53,FEMALE,0.906118,2022-10-21 11:05:17.701729,Necklow,necklowco,stylishpharmacist,1662645931
54,FEMALE,0.127377,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1664431668
55,MALE,0.872623,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1664431668
56,MALE,0.872623,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1662645423
57,FEMALE,0.127377,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1662645423
0,MALE,0.872623,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1662975091
1,FEMALE,0.127377,2022-10-21 11:05:17.701729,Necklow,necklowco,avaireland729,1662975091
0,MALE,0.619706,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1664431704
1,FEMALE,0.380294,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1664431704
2,FEMALE,0.380294,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1662645855
3,MALE,0.619706,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1662645855
4,MALE,0.619706,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1662975306
5,FEMALE,0.380294,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,christinadahlmusic,1662975306
6,MALE,0.106892,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1662975315
7,FEMALE,0.893108,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1662975315
8,MALE,0.106892,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1662645418
9,FEMALE,0.893108,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1662645418
10,FEMALE,0.893108,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1664432559
11,MALE,0.106892,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,itsthedonjordan,1664432559
12,MALE,0.258813,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1662645904
13,FEMALE,0.741187,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1662645904
14,FEMALE,0.741187,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1664431870
15,MALE,0.258813,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1664431870
16,MALE,0.258813,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1662975192
17,FEMALE,0.741187,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,imara.grant,1662975192
18,MALE,0.526895,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1662645397
19,FEMALE,0.473105,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1662645397
20,MALE,0.52678,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1664431836
21,FEMALE,0.47322,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1664431836
22,MALE,0.526676,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1662975218
23,FEMALE,0.473324,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,amma.agyei,1662975218
24,MALE,0.495977,2022-10-21 11:05:17.701729,Beauty Melanin,beauty_melanin_,soogabooga,1662975173
