,id,name,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
7,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
8,11,Camera & Photography,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
9,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
10,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
11,21,Sports,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
12,798,Healthy Lifestyle,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
13,1708,"Friends, Family & Relationships",2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
14,291,Wedding,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,bria.snyder,1662974858
0,,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662646335
0,,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1662975205
0,,,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,alyssashenaye,1664431698
0,33,Activewear,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
1,13,"Clothes, Shoes, Handbags & Accessories",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
2,7,Shopping & Retail,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
3,190,"Toys, Children & Baby",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
4,1560,"Home Decor, Furniture & Garden",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
5,80,Beauty & Cosmetics,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
6,21,Sports,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
7,43,"Travel, Tourism & Aviation",2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
8,11,Camera & Photography,2022-10-21 11:05:17.701729,Epiphanie,epiphanie.co,whatkaliwears,1662645493
