,max,total,min,median,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
2,0.5916,531528,0.466236,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
3,0.6557,455581,0.5916,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
4,0.694533,398671,0.6557,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
5,0.721767,354418,0.694533,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
6,0.742865,318937,0.721767,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
7,0.7601,289933,0.742865,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
8,0.7748,265814,0.7601,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
9,0.787663,245382,0.7748,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
10,0.7993,227840,0.787663,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
11,0.810119,212591,0.7993,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
12,0.820484,199335,0.810119,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
13,0.8306,187574,0.820484,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
14,0.840819,177209,0.8306,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
15,0.851429,167840,0.840819,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
16,0.862928,159468,0.851429,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
17,0.876183,151893,0.862928,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
18,0.894064,145016,0.876183,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
19,,138647,0.894064,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1663087018
0,0.275883,797342,,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
1,0.466236,637874,0.275883,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
2,0.5916,531528,0.466236,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
3,0.6557,455581,0.5916,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
4,0.694533,398671,0.6557,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
5,0.721767,354418,0.694533,True,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
6,0.742865,318937,0.721767,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
7,0.7601,289933,0.742865,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
8,0.7748,265814,0.7601,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
9,0.787663,245382,0.7748,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
10,0.7993,227840,0.787663,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
11,0.810119,212591,0.7993,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
12,0.820484,199335,0.810119,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
13,0.8306,187574,0.820484,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
14,0.840819,177209,0.8306,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
15,0.851429,167840,0.840819,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
16,0.862928,159468,0.851429,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
17,0.876183,151893,0.862928,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
18,0.894064,145016,0.876183,,2022-10-21 11:05:17.701729,Kozy Couch,kozycouch,Tara.dye,1664431484
