,code,name,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
94,white,White / Caucasian,0.594875,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
95,hispanic,Hispanic,0.260286,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,aryyzona,1664431616
96,asian,Asian,0.044166,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
97,white,White / Caucasian,0.673534,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
98,african_american,African American,0.033125,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
99,hispanic,Hispanic,0.249175,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662974791
100,asian,Asian,0.044166,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
101,african_american,African American,0.033125,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
102,white,White / Caucasian,0.673534,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
103,hispanic,Hispanic,0.249175,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1664431764
0,white,White / Caucasian,0.673534,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
1,african_american,African American,0.033125,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
2,hispanic,Hispanic,0.249175,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
3,asian,Asian,0.044166,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,avaireland729,1662645672
0,african_american,African American,0.061193,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
1,hispanic,Hispanic,0.265679,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
2,white,White / Caucasian,0.585709,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
3,asian,Asian,0.087419,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430
4,asian,Asian,0.087419,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
5,african_american,African American,0.061193,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
6,white,White / Caucasian,0.585709,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
7,hispanic,Hispanic,0.265679,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031
8,white,White / Caucasian,0.585846,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
9,hispanic,Hispanic,0.265507,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
10,asian,Asian,0.08744,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
11,african_american,African American,0.061208,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
12,asian,Asian,0.119783,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
13,white,White / Caucasian,0.792115,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
14,african_american,African American,0.030912,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
15,hispanic,Hispanic,0.05719,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
16,white,White / Caucasian,0.7924,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
17,african_american,African American,0.030923,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
18,hispanic,Hispanic,0.056851,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
19,asian,Asian,0.119826,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
20,african_american,African American,0.030901,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
21,asian,Asian,0.119743,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
22,hispanic,Hispanic,0.057504,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
23,white,White / Caucasian,0.791851,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
24,asian,Asian,0.201146,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
25,african_american,African American,0.155431,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
26,white,White / Caucasian,0.54858,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
27,hispanic,Hispanic,0.094842,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
28,african_american,African American,0.155428,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
29,white,White / Caucasian,0.548568,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
30,asian,Asian,0.201142,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
31,hispanic,Hispanic,0.094863,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
32,african_american,African American,0.155438,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
33,hispanic,Hispanic,0.094802,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
34,white,White / Caucasian,0.548605,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
35,asian,Asian,0.201155,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
36,white,White / Caucasian,0.71287,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
37,hispanic,Hispanic,0.064358,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
38,asian,Asian,0.122524,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
39,african_american,African American,0.100247,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668
40,asian,Asian,0.122521,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
41,african_american,African American,0.100244,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763
