,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE,notable_users_ratio,audience_credibility,credibility_class
49,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1664431827,0.384871,0.735014,bad
0,2022-10-21 11:05:17.701729,Ecletticos,ecletticos,jessicabmathie,1662645825,0.385645,0.735236,bad
0,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1664431724,0.1504,0.8491,low
1,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662975151,0.1499,0.8503,normal
2,2022-10-21 11:05:17.701729,Necklow,necklowco,labor_nurse_christina,1662645604,0.1511,0.8488,low
3,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662645430,0.2123,0.8303,low
4,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1662975031,0.2163,0.8252,low
5,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388,0.2208,0.8299,low
6,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754,0.7053,0.8911,normal
7,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397,0.7039,0.8902,normal
8,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454,0.7025,0.8899,normal
9,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768,0.1195,0.331,bad
10,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815,0.1146,0.3272,bad
11,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927,0.1222,0.3322,bad
12,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662645375,0.0551,0.5257,bad
13,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1664431496,0.0548,0.5278,bad
14,2022-10-21 11:05:17.701729,Necklow,necklowco,gods2lit,1662974788,0.0539,0.5194,bad
15,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662974754,0.195,0.6792,bad
16,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1662645746,0.1904,0.6786,bad
17,2022-10-21 11:05:17.701729,Necklow,necklowco,iamnancyjay,1664431725,0.1957,0.6732,bad
18,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1664431828,0.2726,0.7232,bad
19,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662974784,0.276,0.7163,bad
20,2022-10-21 11:05:17.701729,Necklow,necklowco,lynnloheide,1662645465,0.2736,0.7207,bad
21,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1664431668,0.313298,0.680247,bad
22,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662974763,0.313298,0.680247,bad
23,2022-10-21 11:05:17.701729,Necklow,necklowco,sonabonds,1662646268,0.313298,0.680247,bad
24,2022-10-21 11:05:17.701729,Necklow,necklowco,patrianasonia,1662646339,0.3918,0.7886,bad
