,code,name,weight,_OS_CREATED_AT,OS_MERCHANT,OS_HANDLE,INFLUENCER_HANDLE,CODE
22,asian,Asian,0.097592,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
23,african_american,African American,0.039037,2022-10-21 11:05:17.701729,Necklow,necklowco,raisa.bullard,1664432388
24,asian,Asian,0.106449,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
25,white,White / Caucasian,0.829178,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
26,african_american,African American,0.016808,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
27,hispanic,Hispanic,0.047565,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662974754
28,white,White / Caucasian,0.836685,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
29,african_american,African American,0.016514,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
30,hispanic,Hispanic,0.04772,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
31,asian,Asian,0.099081,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1662646397
32,african_american,African American,0.016339,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
33,asian,Asian,0.103483,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
34,hispanic,Hispanic,0.046867,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
35,white,White / Caucasian,0.83331,2022-10-21 11:05:17.701729,Necklow,necklowco,happilyheatherj,1664431454
36,asian,Asian,0.11166,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
37,african_american,African American,0.334979,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
38,white,White / Caucasian,0.478542,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
39,hispanic,Hispanic,0.074819,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662974768
40,african_american,African American,0.274582,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
41,white,White / Caucasian,0.512552,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
42,asian,Asian,0.146444,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
43,hispanic,Hispanic,0.066423,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1664431815
44,african_american,African American,0.304461,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
45,hispanic,Hispanic,0.067588,2022-10-21 11:05:17.701729,Necklow,necklowco,unlimitedleezy,1662645927
